date,population,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million
25/01/2020,32365998,3,3,,,,,0.093,0.093,,,,,,,,,,,,,,,,,,,,,,
26/01/2020,32365998,4,1,,,,,0.124,0.031,,,,,,,,,,,,,,,,,,,,,,
27/01/2020,32365998,4,0,,,,,0.124,0,,,,,,,,,,,,,,,,,,,,,,
28/01/2020,32365998,4,0,,,,,0.124,0,,,,,,,,,,,,,,,,,,,,,,
29/01/2020,32365998,7,3,,,,,0.216,0.093,,,,,,,,,,,,,,,,,,,,,,
30/01/2020,32365998,8,1,1.143,,,0,0.247,0.031,0.035,,,0,,,,,,,,,,,,,,,,,,
31/01/2020,32365998,8,0,1.143,,,0,0.247,0,0.035,,,0,,,,,,,,,,,,,,,,,,
01/02/2020,32365998,8,0,0.714,,,0,0.247,0,0.022,,,0,,,,,,,,,,,,,,,,,,
02/02/2020,32365998,8,0,0.571,,,0,0.247,0,0.018,,,0,,,,,,,,,,,,,,,,,,
03/02/2020,32365998,8,0,0.571,,,0,0.247,0,0.018,,,0,,,,,,,,,,,,,,,,,,
04/02/2020,32365998,10,2,0.857,,,0,0.309,0.062,0.026,,,0,,,,,,,,,,,,,,,,,,
05/02/2020,32365998,12,2,0.714,,,0,0.371,0.062,0.022,,,0,,,,,,,,,,,,,,,,,,
06/02/2020,32365998,12,0,0.571,,,0,0.371,0,0.018,,,0,,,,,,,,,,,,,,,,,,
07/02/2020,32365998,12,0,0.571,,,0,0.371,0,0.018,,,0,,,,,,,,,,,,,,,,,,
08/02/2020,32365998,16,4,1.143,,,0,0.494,0.124,0.035,,,0,,,,,,,,,,,,,,,,,,
09/02/2020,32365998,16,0,1.143,,,0,0.494,0,0.035,,,0,,,,,,,,,,,,,,,,,,
10/02/2020,32365998,18,2,1.429,,,0,0.556,0.062,0.044,,,0,,,,,,,,,,,,,,,,,,
11/02/2020,32365998,18,0,1.143,,,0,0.556,0,0.035,,,0,,,,,,,,,,,,,,,,,,
12/02/2020,32365998,18,0,0.857,,,0,0.556,0,0.026,,,0,,,,,,,,,,,,,,,,,,
13/02/2020,32365998,19,1,1,,,0,0.587,0.031,0.031,,,0,,,,,,,,,,,,,,,,,,
14/02/2020,32365998,19,0,1,,,0,0.587,0,0.031,,,0,,,653,0.02,,,,,,,,,,,,,,
15/02/2020,32365998,22,3,0.857,,,0,0.68,0.093,0.026,,,0,,,,,,,,,,,,,,,,,,
16/02/2020,32365998,22,0,0.857,,,0,0.68,0,0.026,,,0,,,656,0.02,,,,,,,,,,,,,,
17/02/2020,32365998,22,0,0.571,,,0,0.68,0,0.018,,,0,,101,757,0.023,0.003,,,,,,,,,,,,,
18/02/2020,32365998,22,0,0.571,,,0,0.68,0,0.018,,,0,,40,797,0.025,0.001,,,,,,,,,,,,,
19/02/2020,32365998,22,0,0.571,,,0,0.68,0,0.018,,,0,,,,,,,,,,,,,,,,,,
20/02/2020,32365998,22,0,0.429,,,0,0.68,0,0.013,,,0,,,880,0.027,,,,,,,,,,,,,,
21/02/2020,32365998,22,0,0.429,,,0,0.68,0,0.013,,,0,,88,968,0.03,0.003,45,0.001,0.01,104.9,,,,,,,,,
22/02/2020,32365998,22,0,0,,,0,0.68,0,0,,,0,,,,,,49,0.002,0,,,,,,,,,,
23/02/2020,32365998,22,0,0,,,0,0.68,0,0,,,0,,,1028,0.032,,53,0.002,0,,,,,,,,,,
24/02/2020,32365998,22,0,0,,,0,0.68,0,0,,,0,,26,1054,0.033,0.001,42,0.001,0,,,,,,,,,,
25/02/2020,32365998,22,0,0,,,0,0.68,0,0,,,0,,13,1067,0.033,0,39,0.001,0,,,,,,,,,,
26/02/2020,32365998,22,0,0,,,0,0.68,0,0,,,0,,24,1091,0.034,0.001,36,0.001,0,,,,,,,,,,
27/02/2020,32365998,23,1,0.143,,,0,0.711,0.031,0.004,,,0,,454,1545,0.048,0.014,95,0.003,0.002,664.3,,,,,,,,,
28/02/2020,32365998,23,0,0.143,,,0,0.711,0,0.004,,,0,,3,1548,0.048,0,83,0.003,0.002,580.4,,,,,,,,,
29/02/2020,32365998,25,2,0.429,,,0,0.772,0.062,0.013,,,0,,,,,,88,0.003,0.005,205.1,,,,,,,,,
01/03/2020,32365998,29,4,1,,,0,0.896,0.124,0.031,,,0,,,,,,92,0.003,0.011,92,,,,,,,,,
02/03/2020,32365998,29,0,1,,,0,0.896,0,0.031,,,0,,,1739,0.054,,98,0.003,0.01,98,,,,,,,,,
03/03/2020,32365998,36,7,2,,,0,1.112,0.216,0.062,,,0,,,,,,113,0.003,0.018,56.5,,,,,,,,,
04/03/2020,32365998,50,14,4,,,0,1.545,0.433,0.124,,,0,,,1983,0.061,,127,0.004,0.031,31.8,,,,,,,,,
05/03/2020,32365998,50,0,3.857,,,0,1.545,0,0.119,,,0,,,,,,83,0.003,0.046,21.5,,,,,,,,,
06/03/2020,32365998,83,33,8.571,,,0,2.564,1.02,0.265,,,0,,,,,,102,0.003,0.084,11.9,,,,,,,,,
07/03/2020,32365998,93,10,9.714,,,0,2.873,0.309,0.3,,,0,,,,,,113,0.003,0.086,11.6,,,,,,,,,
08/03/2020,32365998,99,6,10,,,0,3.059,0.185,0.309,,,0,,,,,,124,0.004,0.081,12.4,,,,,,,,,
09/03/2020,32365998,117,18,12.571,,,0,3.615,0.556,0.388,,,0,,,2686,0.083,,135,0.004,0.093,10.7,,,,,,,,,
10/03/2020,32365998,129,12,13.286,,,0,3.986,0.371,0.41,,,0,210%,,,,,181,0.006,0.073,13.6,,,,,,,,,
11/03/2020,32365998,149,20,14.143,,,0,4.604,0.618,0.437,,,0,212%,,3573,0.11,,227,0.007,0.062,16.1,,,,,,,,,
12/03/2020,32365998,149,0,14.143,,,0,4.604,0,0.437,,,0,217%,118,3691,0.114,0.004,224,0.007,0.063,15.8,,,,,,,,,
13/03/2020,32365998,197,48,16.286,,,0,6.087,1.483,0.503,,,0,227%,,,,,290,0.009,0.056,17.8,,,,,,,,,
14/03/2020,32365998,238,41,20.714,,,0,7.353,1.267,0.64,,,0,235%,,4899,0.151,,356,0.011,0.058,17.2,,,,,,,,,
15/03/2020,32365998,428,190,47,,,0,13.224,5.87,1.452,,,0,243%,,,,,429,0.013,0.11,9.1,,,,,,,,,
16/03/2020,32365998,566,138,64.143,,,0,17.487,4.264,1.982,,,0,234%,,,,,501,0.015,0.128,7.8,,,,,,,,,
17/03/2020,32365998,673,107,77.714,2,2,0.286,20.793,3.306,2.401,0.062,0.062,0.009,222%,,6842,0.211,,530,0.016,0.147,6.8,,,,,,,,,
18/03/2020,32365998,790,117,91.571,2,0,0.286,24.408,3.615,2.829,0.062,0,0.009,211%,,,,,612,0.019,0.15,6.7,,,,,,,,,
19/03/2020,32365998,900,110,107.286,2,0,0.286,27.807,3.399,3.315,0.062,0,0.009,200%,,8873,0.274,,740,0.023,0.145,6.9,,,,,,,,,
20/03/2020,32365998,1030,130,119,3,1,0.429,31.824,4.017,3.677,0.093,0.031,0.013,190%,1270,10143,0.313,0.039,835,0.026,0.143,7,,,,,,,,,
21/03/2020,32365998,1183,153,135,4,1,0.571,36.551,4.727,4.171,0.124,0.031,0.018,181%,,,,,830,0.026,0.163,6.1,,,,,,,,,
22/03/2020,32365998,1306,123,125.429,10,6,1.429,40.351,3.8,3.875,0.309,0.185,0.044,171%,,11275,0.348,,818,0.025,0.153,6.5,,,,,,,,,
23/03/2020,32365998,1518,212,136,14,4,2,46.901,6.55,4.202,0.433,0.124,0.062,167%,1835,13110,0.405,0.057,988,0.031,0.138,7.3,,,,,,,,,
24/03/2020,32365998,1624,106,135.857,16,2,2,50.176,3.275,4.198,0.494,0.062,0.062,161%,484,13594,0.42,0.015,965,0.03,0.141,7.1,,,,,,,,,
25/03/2020,32365998,1796,172,143.714,20,4,2.571,55.49,5.314,4.44,0.618,0.124,0.079,155%,2226,15820,0.489,0.069,1138,0.035,0.126,7.9,,,,,,,,,
26/03/2020,32365998,2031,235,161.571,23,3,3,62.751,7.261,4.992,0.711,0.093,0.093,149%,1163,16983,0.525,0.036,1159,0.036,0.139,7.2,,,,,,,,,
27/03/2020,32365998,2161,130,161.571,26,3,3.286,66.768,4.017,4.992,0.803,0.093,0.102,141%,7185,24168,0.747,0.222,2004,0.062,0.081,12.4,,,,,,,,,
28/03/2020,32365998,2320,159,162.429,27,1,3.286,71.68,4.913,5.018,0.834,0.031,0.102,135%,5293,29461,0.91,0.164,2679,0.083,0.061,16.5,,,,,,,,,
29/03/2020,32365998,2470,150,166.286,35,8,3.571,76.315,4.634,5.138,1.081,0.247,0.11,129%,,,,,2723,0.084,0.061,16.4,,,,,,,,,
30/03/2020,32365998,2626,156,158.286,37,2,3.286,81.135,4.82,4.89,1.143,0.062,0.102,126%,,31206,0.964,,2585,0.08,0.061,16.3,,,,,,,,,
31/03/2020,32365998,2766,140,163.143,43,6,3.857,85.46,4.326,5.041,1.329,0.185,0.119,124%,1058,32264,0.997,0.033,2667,0.082,0.061,16.3,,,,,,,,,
01/04/2020,32365998,2908,142,158.857,45,2,3.571,89.847,4.387,4.908,1.39,0.062,0.11,122%,3538,35802,1.106,0.109,2855,0.088,0.056,18,,,,,,,,,
02/04/2020,32365998,3116,208,155,50,5,3.857,96.274,6.426,4.789,1.545,0.154,0.119,119%,1797,37599,1.162,0.056,2945,0.091,0.053,19,,,,,,,,,
03/04/2020,32365998,3333,217,167.429,53,3,3.857,102.978,6.705,5.173,1.638,0.093,0.119,116%,1859,39458,1.219,0.057,2184,0.067,0.077,13,,,,,,,,,
04/04/2020,32365998,3483,150,166.143,57,4,4.286,107.613,4.634,5.133,1.761,0.124,0.132,111%,1465,40923,1.264,0.045,1637,0.051,0.101,9.9,,,,,,,,,
05/04/2020,32365998,3662,179,170.286,61,4,3.714,113.143,5.53,5.261,1.885,0.124,0.115,107%,2616,43539,1.345,0.081,1886,0.058,0.09,11.1,,,,,,,,,
